"","conn_name","region"
"1","1_2","4_6"
"2","1_3","6_7"
"3","1_4","6_6"
"4","1_5","6_7"
"5","1_6","6_7"
"6","1_7","3_6"
"7","1_8","3_6"
"8","1_9","2_6"
"9","1_10","2_6"
"10","1_11","6_7"
"11","1_12","6_6"
"12","1_13","6_7"
"13","1_14","6_7"
"14","1_15","4_6"
"15","1_16","6_6"
"16","1_17","6_6"
"17","1_18","6_6"
"18","1_19","6_6"
"19","1_20","6_6"
"20","1_21","6_6"
"21","1_22","6_6"
"22","1_23","6_7"
"23","1_24","6_6"
"24","1_25","3_6"
"25","1_26","3_6"
"26","1_27","5_6"
"27","1_28","6_6"
"28","1_29","6_6"
"29","1_30","3_6"
"30","1_31","6_6"
"31","1_32","6_6"
"32","1_33","6_7"
"33","1_34","6_7"
"34","1_35","6_7"
"35","1_36","6_6"
"36","1_37","4_6"
"37","1_38","4_6"
"38","1_39","4_6"
"39","1_40","4_6"
"40","1_41","6_7"
"41","1_42","6_7"
"42","1_43","6_7"
"43","1_44","6_7"
"44","1_45","5_6"
"45","1_46","6_6"
"46","1_47","5_6"
"47","1_48","5_6"
"48","1_49","5_6"
"49","1_50","5_6"
"50","1_51","6_7"
"51","1_52","6_7"
"52","1_53","2_6"
"53","1_54","2_6"
"54","1_55","3_6"
"55","1_56","3_6"
"56","1_57","2_6"
"57","1_58","2_6"
"58","1_59","2_6"
"59","1_60","2_6"
"60","1_61","4_6"
"61","1_62","4_6"
"62","1_63","3_6"
"63","1_64","3_6"
"64","1_65","4_6"
"65","1_66","2_6"
"66","1_67","2_6"
"67","1_68","2_6"
"68","1_69","5_6"
"69","1_70","5_6"
"70","1_71","2_6"
"71","1_72","2_6"
"72","1_73","2_6"
"73","1_74","2_6"
"74","1_75","2_6"
"75","1_76","2_6"
"76","1_77","5_6"
"77","1_78","5_6"
"78","1_79","6_7"
"79","1_80","6_7"
"80","1_81","6_7"
"81","1_82","6_6"
"82","1_83","6_7"
"83","1_84","6_7"
"84","1_85","3_6"
"85","1_86","3_6"
"86","1_87","6_7"
