Label;subregion_name;region;Yeo_7network;Yeo_17network;Column1;_1;_2;_3;_4;_5;_6
1;A8m;SFG_L_7_1;6;17;;;;;;Yeo  7 Network;
2;A8m;SFG_R_7_1;4;8;;;;;;ID;Network name
3;A8dl;SFG_L_7_2;7;16;;;;;;1;Visual
4;A8dl;SFG_R_7_2;6;13;;;;;;2;Somatomotor
5;A9l;SFG_L_7_3;7;17;;;;;;3;Dorsal Attention
6;A9l;SFG_R_7_3;7;17;;;;;;4;Ventral Attention
7;A6dl;SFG_L_7_4;3;6;;;;;;5;Limbic
8;A6dl;SFG_R_7_4;3;6;;;;;;6;Frontoparietal
9;A6m;SFG_L_7_5;2;3;;;;;;7;Default
10;A6m;SFG_R_7_5;2;3;;;;;;;
11;A9m;SFG_L_7_6;7;13;;;;;;Yeo  17 Network;
12;A9m;SFG_R_7_6;6;13;;;;;;ID;Network name
13;A10m;SFG_L_7_7;7;16;;;;;;1;Visual peripheral
14;A10m;SFG_R_7_7;7;16;;;;;;2;Visual central
15;A9/46d;MFG_L_7_1;4;8;;;;;;3;Somato-motor A
16;A9/46d;MFG_R_7_1;6;11;;;;;;4;Somato-motor B
17;IFJ;MFG_L_7_2;6;12;;;;;;5;Dorsal attention A
18;IFJ;MFG_R_7_2;6;12;;;;;;6;Dorsal attention B
19;A46;MFG_L_7_3;6;13;;;;;;7;Ventral attention 
20;A46;MFG_R_7_3;6;13;;;;;;8;Salience
21;A9/46v;MFG_L_7_4;6;12;;;;;;9;Limbic-1
22;A9/46v;MFG_R_7_4;6;8;;;;;;10;Limbic-2
23;A8vl;MFG_L_7_5;7;16;;;;;;11;Control C
24;A8vl;MFG_R_7_5;6;13;;;;;;12;Control A
25;A6vl;MFG_L_7_6;3;6;;;;;;13;Control B
26;A6vl;MFG_R_7_6;3;12;;;;;;14;Default D (Auditory)
27;A10l;MFG_L_7_7;5;10;;;;;;15;Default C
28;A10l;MFG_R_7_7;6;13;;;;;;16;Default A
29;A44d;IFG_L_6_1;6;12;;;;;;17;Default B
30;A44d;IFG_R_6_1;3;12;;;;;;;
31;IFS;IFG_L_6_2;6;12;;;;;;;
32;IFS;IFG_R_6_2;6;12;;;;;;;
33;A45c;IFG_L_6_3;7;17;;;;;;;
34;A45c;IFG_R_6_3;7;17;;;;;;;
35;A45r;IFG_L_6_4;7;17;;;;;;;
36;A45r;IFG_R_6_4;6;8;;;;;;;
37;A44op;IFG_L_6_5;4;7;;;;;;;
38;A44op;IFG_R_6_5;4;8;;;;;;;
39;A44v;IFG_L_6_6;4;8;;;;;;;
40;A44v;IFG_R_6_6;4;8;;;;;;;
41;A14m;OrG_L_6_1;7;16;;;;;;;
42;A14m;OrG_R_6_1;7;16;;;;;;;
43;A12/47o;OrG_L_6_2;7;17;;;;;;;
44;A12/47o;OrG_R_6_2;7;17;;;;;;;
45;A11l;OrG_L_6_3;5;10;;;;;;;
46;A11l;OrG_R_6_3;6;12;;;;;;;
47;A11m;OrG_L_6_4;5;10;;;;;;;
48;A11m;OrG_R_6_4;5;10;;;;;;;
49;A13;OrG_L_6_5;5;10;;;;;;;
50;A13;OrG_R_6_5;5;10;;;;;;;
51;A12/47l;OrG_L_6_6;7;17;;;;;;;
