"","model","alpha","accuracy_test","auc_test","accuracy_train","n_params"
"1","elnet_conn","0.1","72.9","79.2","90.9","30138"
"2","elnet_conn_abs","0.6","69.4","72.6","89.9","30138"
"3","elnet_conn_squ","0.1","71.8","78.9","95.8","30138"
"4","elnet_conn_quadratic","0.2","67.1","78.3","96.4","60275"
"5","elnet_agg_zero","0","71.8","78.1","73.2","39"
"6","elnet_agg_max","0","64.7","70.1","73.8","39"
"7","elnet_agg_mean","0.6","71.8","74.2","75.1","39"
"8","elnet_gm_only","0.3","63.5","67.7","68.3","1239"
"9","elnet_gm_conn","0.2","70.6","76.7","96.4","31374"
"10","elnet_agg_zero_inter","0.5","70.6","80.3","80","819"
"11","elnet_agg_max_inter","0.4","69.4","73.6","72.2","819"
"12","elnet_agg_mean_inter","1","68.2","75","78.2","819"
